TotalVisits,Total Time Spent on Website,Page Views Per Visit,EngagementScore,TimePerVisit,Lead Source,Do Not Email,Do Not Call,Converted,PredictedProbability,Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
5.0,674,2.5,12.5,112.33333333333333,Organic Search,No,No,0,0.48733333333333334,Medium Priority
2.0,1532,2.0,4.0,510.6666666666667,Direct Traffic,No,No,1,0.6306666666666667,Medium Priority
1.0,305,1.0,1.0,152.5,Direct Traffic,No,No,0,0.1825,Low Priority
2.0,1428,1.0,2.0,476.0,Google,No,No,1,0.536,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
2.0,1640,2.0,4.0,546.6666666666666,Google,No,No,1,0.6666666666666666,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
2.0,71,2.0,4.0,23.666666666666668,Direct Traffic,No,No,0,0.14366666666666666,Low Priority
4.0,58,4.0,16.0,11.6,Google,No,No,0,0.4916,Medium Priority
8.0,1351,8.0,64.0,150.11111111111111,Organic Search,No,No,1,1.0,High Priority
8.0,1343,2.67,21.36,149.22222222222223,Direct Traffic,No,No,1,0.7900222222222222,High Priority
11.0,1538,11.0,121.0,128.16666666666666,Organic Search,No,No,1,1.0,High Priority
5.0,170,5.0,25.0,28.333333333333332,Organic Search,No,No,0,0.7783333333333333,High Priority
1.0,481,1.0,1.0,240.5,Direct Traffic,Yes,No,0,0.27049999999999996,Low Priority
6.0,1012,6.0,36.0,144.57142857142858,Organic Search,No,No,1,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
6.0,973,6.0,36.0,139.0,Referral Sites,No,No,0,1.0,High Priority
6.0,1688,3.0,18.0,241.14285714285714,Google,No,No,1,0.7811428571428571,High Priority
3.0,98,3.0,9.0,24.5,Organic Search,No,No,0,0.29450000000000004,Low Priority
1.0,233,1.0,1.0,116.5,Google,No,No,0,0.14650000000000002,Low Priority
4.0,377,1.33,5.32,75.4,Google,No,No,0,0.235,Low Priority
1.0,1013,1.0,1.0,506.5,Google,No,No,1,0.5365000000000001,Medium Priority
4.0,771,4.0,16.0,154.2,Google,No,No,0,0.6342,Medium Priority
6.0,1137,1.5,9.0,162.42857142857142,Google,No,No,1,0.43242857142857144,Medium Priority
3.0,1068,3.0,9.0,267.0,Google,No,No,1,0.537,Medium Priority
4.0,1000,2.0,8.0,200.0,Organic Search,No,No,1,0.44,Medium Priority
6.0,1315,6.0,36.0,187.85714285714286,Google,No,No,1,1.0,High Priority
5.0,182,5.0,25.0,30.333333333333332,Direct Traffic,No,No,0,0.7803333333333333,High Priority
3.0,78,3.0,9.0,19.5,Google,No,No,1,0.28950000000000004,Low Priority
7.0,1174,3.5,24.5,146.75,Direct Traffic,No,No,1,0.88175,High Priority
3.0,88,1.5,4.5,22.0,Google,No,No,0,0.157,Low Priority
4.0,223,2.0,8.0,44.6,Referral Sites,No,No,0,0.28459999999999996,Low Priority
3.0,74,1.5,4.5,18.5,Organic Search,No,No,0,0.1535,Low Priority
4.0,16,2.0,8.0,3.2,Organic Search,No,No,1,0.2432,Low Priority
3.0,98,3.0,9.0,24.5,Referral Sites,No,No,1,0.29450000000000004,Low Priority
4.0,1622,4.0,16.0,324.4,Google,No,No,0,0.8044,High Priority
5.0,563,5.0,25.0,93.83333333333333,Google,No,No,1,0.8438333333333333,High Priority
2.0,310,2.0,4.0,103.33333333333333,Google,No,No,0,0.22333333333333333,Low Priority
4.0,25,4.0,16.0,5.0,Google,No,No,1,0.485,Medium Priority
3.0,342,3.0,9.0,85.5,Direct Traffic,No,No,0,0.35550000000000004,Low Priority
7.0,38,7.0,49.0,4.75,Organic Search,Yes,No,0,1.0,High Priority
5.0,199,5.0,25.0,33.166666666666664,Google,No,No,0,0.7831666666666667,High Priority
5.0,222,5.0,25.0,37.0,Google,No,No,0,0.787,High Priority
6.0,275,3.0,18.0,39.285714285714285,Direct Traffic,No,No,0,0.5792857142857143,Medium Priority
4.0,287,2.0,8.0,57.4,Google,No,No,0,0.2974,Low Priority
2.0,547,2.0,4.0,182.33333333333334,Direct Traffic,No,No,0,0.30233333333333334,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
6.0,1225,6.0,36.0,175.0,Google,No,No,0,1.0,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,1,0.0,Low Priority
5.0,160,5.0,25.0,26.666666666666668,Google,No,No,0,0.7766666666666666,High Priority
6.0,394,2.0,12.0,56.285714285714285,Organic Search,No,No,0,0.41628571428571426,Medium Priority
6.0,286,1.5,9.0,40.857142857142854,Google,No,No,0,0.3108571428571429,Low Priority
7.0,96,2.33,16.310000000000002,12.0,Organic Search,No,No,0,0.5013000000000001,Medium Priority
2.0,12,2.0,4.0,4.0,Organic Search,No,No,0,0.124,Low Priority
13.0,436,13.0,169.0,31.142857142857142,Referral Sites,No,No,1,1.0,High Priority
8.0,903,8.0,64.0,100.33333333333333,Referral Sites,No,No,1,1.0,High Priority
17.0,409,8.5,144.5,22.72222222222222,Organic Search,No,No,0,1.0,High Priority
11.0,685,5.5,60.5,57.083333333333336,Referral Sites,No,No,0,1.0,High Priority
4.0,213,4.0,16.0,42.6,Google,No,No,0,0.5226,Medium Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
7.0,1468,3.5,24.5,183.5,Organic Search,No,No,1,0.9185,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
4.0,1435,4.0,16.0,287.0,Direct Traffic,No,No,1,0.767,High Priority
1.0,157,1.0,1.0,78.5,Google,No,No,1,0.1085,Low Priority
3.0,885,1.5,4.5,221.25,Google,No,No,1,0.35625,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,1,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
1.0,1710,1.0,1.0,855.0,Direct Traffic,No,No,0,0.885,High Priority
4.0,219,4.0,16.0,43.8,Direct Traffic,No,No,0,0.5237999999999999,Medium Priority
3.0,111,3.0,9.0,27.75,Referral Sites,Yes,No,0,0.29775,Low Priority
6.0,224,6.0,36.0,32.0,Organic Search,No,No,0,1.0,High Priority
5.0,224,1.67,8.35,37.333333333333336,Direct Traffic,No,No,0,0.28783333333333333,Low Priority
2.0,1071,2.0,4.0,357.0,Direct Traffic,No,No,1,0.477,Medium Priority
6.0,595,3.0,18.0,85.0,Google,No,No,1,0.625,Medium Priority
4.0,520,4.0,16.0,104.0,Referral Sites,No,No,0,0.584,Medium Priority
2.0,393,2.0,4.0,131.0,Google,No,No,0,0.251,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,1,0.0,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
3.0,1136,3.0,9.0,284.0,Google,No,No,1,0.554,Medium Priority
3.0,335,3.0,9.0,83.75,Referral Sites,No,No,0,0.35375,Low Priority
4.0,75,4.0,16.0,15.0,Referral Sites,No,No,0,0.495,Medium Priority
6.0,97,3.0,18.0,13.857142857142858,Direct Traffic,No,No,0,0.5538571428571429,Medium Priority
2.0,1085,2.0,4.0,361.6666666666667,Organic Search,No,No,0,0.4816666666666667,Medium Priority
3.0,214,3.0,9.0,53.5,Organic Search,No,No,0,0.3235,Low Priority
6.0,1158,1.5,9.0,165.42857142857142,Olark Chat,No,No,1,0.43542857142857144,Medium Priority
4.0,101,4.0,16.0,20.2,Google,No,No,0,0.5002,Medium Priority
9.0,838,4.5,40.5,83.8,Google,No,No,0,1.0,High Priority
3.0,536,3.0,9.0,134.0,Direct Traffic,No,No,0,0.404,Medium Priority
4.0,161,2.0,8.0,32.2,Direct Traffic,No,No,0,0.2722,Low Priority
2.0,511,2.0,4.0,170.33333333333334,Google,No,No,0,0.29033333333333333,Low Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,0,0.0,Low Priority
5.0,1110,5.0,25.0,185.0,Google,No,No,1,0.935,High Priority
5.0,1563,5.0,25.0,260.5,Direct Traffic,No,No,1,1.0,High Priority
7.0,1633,3.5,24.5,204.125,Referral Sites,No,No,0,0.939125,High Priority
0.0,0,0.0,0.0,0.0,Olark Chat,No,No,1,0.0,Low Priority
12.0,809,4.0,48.0,62.23076923076923,Google,No,No,0,1.0,High Priority
2.0,638,2.0,4.0,212.66666666666666,Direct Traffic,No,No,0,0.33266666666666667,Low Priority
5.0,1196,5.0,25.0,199.33333333333334,Google,No,No,1,0.9493333333333334,High Priority
6.0,1485,6.0,36.0,212.14285714285714,Organic Search,No,No,0,1.0,High Priority
9.0,125,3.0,27.0,12.5,Google,No,No,0,0.8224999999999999,High Priority
3.0,165,3.0,9.0,41.25,Google,No,No,1,0.31125,Low Priority
6.0,398,3.0,18.0,56.857142857142854,Google,No,No,0,0.5968571428571429,Medium Priority
3.0,570,3.0,9.0,142.5,Organic Search,No,No,0,0.41250000000000003,Medium Priority
6.0,895,6.0,36.0,127.85714285714286,Organic Search,No,No,1,1.0,High Priority
4.0,1190,4.0,16.0,238.0,Google,No,No,1,0.718,High Priority
0.0,0,0.0,0.0,0.0,Reference,No,No,1,0.0,Low Priority
5.0,1566,5.0,25.0,261.0,Direct Traffic,No,No,0,1.0,High Priority
5.0,727,5.0,25.0,121.16666666666667,Google,No,No,1,0.8711666666666666,High Priority
8.0,652,4.0,32.0,72.44444444444444,Google,No,No,0,1.0,High Priority
4.0,1248,1.33,5.32,249.6,Organic Search,No,No,0,0.4092,Medium Priority
2.0,767,2.0,4.0,255.66666666666666,Google,No,No,0,0.37566666666666665,Low Priority
10.0,275,3.33,33.3,25.0,Referral Sites,No,No,0,1.0,High Priority
3.0,273,3.0,9.0,68.25,Organic Search,No,No,0,0.33825000000000005,Low Priority
8.0,277,4.0,32.0,30.77777777777778,Google,No,No,0,0.9907777777777778,High Priority
3.0,1207,1.5,4.5,301.75,Organic Search,No,No,1,0.43675,Medium Priority
2.0,39,1.0,2.0,13.0,Google,No,No,0,0.073,Low Priority
4.0,1638,4.0,16.0,327.6,Google,No,No,0,0.8076,High Priority
